# Energy DOS
-3.56410146e+00 0.00000000e+00
-3.55696607e+00 0.00000000e+00
-3.54983068e+00 0.00000000e+00
-3.54269552e+00 0.00000000e+00
-3.53556013e+00 0.00000000e+00
-3.52842474e+00 0.00000000e+00
-3.52128935e+00 0.00000000e+00
-3.51415420e+00 0.00000000e+00
-3.50701880e+00 0.00000000e+00
-3.49988341e+00 0.00000000e+00
-3.49274802e+00 0.00000000e+00
-3.48561263e+00 0.00000000e+00
-3.47847748e+00 2.45642614e+00
-3.47134209e+00 1.80902219e+00
-3.46420670e+00 1.48675537e+00
-3.45707130e+00 1.20327353e+00
-3.44993615e+00 9.52459276e-01
-3.44280076e+00 7.37804532e-01
-3.43566537e+00 5.59725821e-01
-3.42852998e+00 4.15866107e-01
-3.42139459e+00 3.02362651e-01
-3.41425943e+00 2.14776605e-01
-3.40712404e+00 1.48658782e-01
-3.39998865e+00 9.98850390e-02
-3.39285326e+00 6.48117959e-02
-3.38571811e+00 4.03219797e-02
-3.37858272e+00 2.38212775e-02
-3.37144732e+00 1.32019948e-02
-3.36431193e+00 6.79012202e-03
-3.35717654e+00 3.27973533e-03
-3.35004139e+00 1.67752220e-03
-3.34290600e+00 1.24686363e-03
-3.33577061e+00 1.45863055e-03
-3.32863522e+00 1.94456649e-03
-3.32150006e+00 2.46778503e-03
-3.31436467e+00 2.88740033e-03
-3.30722928e+00 3.13275610e-03
-3.30009389e+00 3.18586756e-03
-3.29295874e+00 3.06314998e-03
-3.28582335e+00 2.80205184e-03
-3.27868795e+00 2.45237653e-03
-3.27155256e+00 2.06646882e-03
-3.26441717e+00 1.69469987e-03
-3.25728202e+00 1.38158095e-03
-3.25014663e+00 1.16114086e-03
-3.24301124e+00 1.05864322e-03
-3.23587584e+00 1.08538393e-03
-3.22874069e+00 1.24364602e-03
-3.22160530e+00 1.52393675e-03
-3.21446991e+00 1.90855749e-03
-3.20733452e+00 2.37204274e-03
-3.20019913e+00 2.88276910e-03
-3.19306397e+00 3.40627343e-03
-3.18592858e+00 3.90489562e-03
-3.17879319e+00 4.34491178e-03
-3.17165780e+00 4.69236402e-03
-3.16452265e+00 4.91965050e-03
-3.15738726e+00 5.00589376e-03
-3.15025187e+00 4.93782666e-03
-3.14311647e+00 4.71091596e-03
-3.13598108e+00 4.33250377e-03
-3.12884593e+00 3.82035202e-03
-3.12171054e+00 3.20327957e-03
-3.11457515e+00 2.52094772e-03
-3.10743976e+00 1.82469073e-03
-3.10030460e+00 1.17667567e-03
-3.09316921e+00 6.47745153e-04
-3.08603382e+00 3.17900034e-04
-3.07889843e+00 2.73242506e-04
-3.07176304e+00 6.05999317e-04
-3.06462789e+00 1.41114567e-03
-3.05749249e+00 2.78810621e-03
-3.05035710e+00 4.83332667e-03
-3.04322171e+00 7.64253736e-03
-3.03608656e+00 1.13086263e-02
-3.02895117e+00 1.59191620e-02
-3.02181578e+00 2.15516277e-02
-3.01468039e+00 2.82782707e-02
-3.00754499e+00 3.61586027e-02
-3.00040960e+00 4.52411845e-02
-2.99327445e+00 5.55616617e-02
-2.98613906e+00 6.71427548e-02
-2.97900367e+00 7.99915791e-02
-2.97186852e+00 9.41016376e-02
-2.96473312e+00 1.09449722e-01
-2.95759773e+00 1.26000881e-01
-2.95046234e+00 1.43701494e-01
-2.94332695e+00 1.62485883e-01
-2.93619156e+00 1.82273626e-01
-2.92905641e+00 2.02972099e-01
-2.92192101e+00 2.24475920e-01
-2.91478562e+00 2.46669948e-01
-2.90765047e+00 2.69429982e-01
-2.90051508e+00 2.92622834e-01
-2.89337969e+00 3.16107690e-01
-2.88624430e+00 3.39740992e-01
-2.87910891e+00 3.63374054e-01
-2.87197351e+00 3.86854619e-01
-2.86483836e+00 4.10034597e-01
-2.85770297e+00 4.32763755e-01
-2.85056758e+00 4.54894364e-01
-2.84343243e+00 4.76285279e-01
-2.83629704e+00 4.96798873e-01
-2.82916164e+00 5.16306400e-01
-2.82202625e+00 5.34682810e-01
-2.81489086e+00 5.51816821e-01
-2.80775547e+00 5.67605197e-01
-2.80062032e+00 5.81954777e-01
-2.79348493e+00 5.94786882e-01
-2.78634953e+00 6.06029093e-01
-2.77921438e+00 6.15626991e-01
-2.77207899e+00 6.23535097e-01
-2.76494360e+00 6.29722536e-01
-2.75780821e+00 6.34171784e-01
-2.75067282e+00 6.36874855e-01
-2.74353743e+00 6.37838006e-01
-2.73640227e+00 6.37080014e-01
-2.72926688e+00 6.34629488e-01
-2.72213149e+00 6.30526900e-01
-2.71499634e+00 6.24822736e-01
-2.70786095e+00 6.17576301e-01
-2.70072556e+00 6.08855546e-01
-2.69359016e+00 5.98737419e-01
-2.68645477e+00 5.87305248e-01
-2.67931938e+00 5.74648023e-01
-2.67218423e+00 5.60859919e-01
-2.66504884e+00 5.46037674e-01
-2.65791345e+00 5.30285835e-01
-2.65077829e+00 5.13707161e-01
-2.64364290e+00 4.96406674e-01
-2.63650751e+00 4.78490114e-01
-2.62937212e+00 4.60064411e-01
-2.62223673e+00 4.41231936e-01
-2.61510134e+00 4.22095478e-01
-2.60796618e+00 4.02759135e-01
-2.60083079e+00 3.83316427e-01
-2.59369540e+00 3.63859713e-01
-2.58656025e+00 3.44480515e-01
-2.57942486e+00 3.25260937e-01
-2.57228947e+00 3.06279808e-01
-2.56515408e+00 2.87612319e-01
-2.55801868e+00 2.69324780e-01
-2.55088329e+00 2.51478791e-01
-2.54374814e+00 2.34130576e-01
-2.53661275e+00 2.17329949e-01
-2.52947760e+00 2.01119617e-01
-2.52234221e+00 1.85536101e-01
-2.51520681e+00 1.70610860e-01
-2.50807142e+00 1.56368956e-01
-2.50093603e+00 1.42828390e-01
-2.49380064e+00 1.30004302e-01
-2.48666525e+00 1.17904469e-01
-2.47953010e+00 1.06532119e-01
-2.47239470e+00 9.58842859e-02
-2.46525955e+00 8.59567299e-02
-2.45812416e+00 7.67380074e-02
-2.45098877e+00 6.82145357e-02
-2.44385338e+00 6.03691824e-02
-2.43671799e+00 5.31815514e-02
-2.42958260e+00 4.66283187e-02
-2.42244720e+00 4.06848714e-02
-2.41531205e+00 3.53242271e-02
-2.40817666e+00 3.05174086e-02
-2.40104151e+00 2.62357593e-02
-2.39390612e+00 2.24473570e-02
-2.38677073e+00 1.91226993e-02
-2.37963533e+00 1.62297729e-02
-2.37249994e+00 1.37378033e-02
-2.36536455e+00 1.16165541e-02
-2.35822916e+00 9.83623415e-03
-2.35109401e+00 8.36753380e-03
-2.34395862e+00 7.18293106e-03
-2.33682346e+00 6.25574589e-03
-2.32968807e+00 5.56078693e-03
-2.32255268e+00 5.07449592e-03
-2.31541729e+00 4.77520702e-03
-2.30828190e+00 4.64281719e-03
-2.30114651e+00 4.65908973e-03
-2.29401112e+00 4.80754999e-03
-2.28687596e+00 5.07398415e-03
-2.27974057e+00 5.44590224e-03
-2.27260542e+00 5.91267971e-03
-2.26547003e+00 6.46564877e-03
-2.25833464e+00 7.09788967e-03
-2.25119925e+00 7.80451391e-03
-2.24406385e+00 8.58149678e-03
-2.23692846e+00 9.42736212e-03
-2.22979307e+00 1.03420606e-02
-2.22265792e+00 1.13259135e-02
-2.21552253e+00 1.23815471e-02
-2.20838737e+00 1.35122398e-02
-2.20125198e+00 1.47221033e-02
-2.19411659e+00 1.60169005e-02
-2.18698120e+00 1.74019355e-02
-2.17984581e+00 1.88842639e-02
-2.17271042e+00 2.04702038e-02
-2.16557503e+00 2.21673157e-02
-2.15843987e+00 2.39829589e-02
-2.15130448e+00 2.59244330e-02
-2.14416933e+00 2.79993992e-02
-2.13703394e+00 3.02143693e-02
-2.12989855e+00 3.25767919e-02
-2.12276316e+00 3.50916609e-02
-2.11562777e+00 3.77665833e-02
-2.10849237e+00 4.06047069e-02
-2.10135698e+00 4.36123237e-02
-2.09422183e+00 4.67912666e-02
-2.08708644e+00 5.01445644e-02
-2.07995129e+00 5.36744893e-02
-2.07281590e+00 5.73810488e-02
-2.06568050e+00 6.12639971e-02
-2.05854511e+00 6.53221309e-02
-2.05140972e+00 6.95525855e-02
-2.04427433e+00 7.39525035e-02
-2.03713894e+00 7.85159543e-02
-2.03000379e+00 8.32370222e-02
-2.02286839e+00 8.81095305e-02
-2.01573324e+00 9.31246579e-02
-2.00859785e+00 9.82738882e-02
-2.00146246e+00 1.03546686e-01
-1.99432707e+00 1.08931907e-01
-1.98719168e+00 1.14416979e-01
-1.98005641e+00 1.19989775e-01
-1.97292101e+00 1.25635907e-01
-1.96578574e+00 1.31340846e-01
-1.95865035e+00 1.37090087e-01
-1.95151508e+00 1.42867252e-01
-1.94437969e+00 1.48656309e-01
-1.93724442e+00 1.54439852e-01
-1.93010902e+00 1.60201415e-01
-1.92297363e+00 1.65924147e-01
-1.91583836e+00 1.71589673e-01
-1.90870297e+00 1.77179694e-01
-1.90156770e+00 1.82677984e-01
-1.89443231e+00 1.88066557e-01
-1.88729703e+00 1.93327934e-01
-1.88016164e+00 1.98445186e-01
-1.87302637e+00 2.03401282e-01
-1.86589098e+00 2.08180025e-01
-1.85875559e+00 2.12765098e-01
-1.85162032e+00 2.17141405e-01
-1.84448493e+00 2.21295223e-01
-1.83734965e+00 2.25211650e-01
-1.83021426e+00 2.28877530e-01
-1.82307899e+00 2.32281387e-01
-1.81594360e+00 2.35410988e-01
-1.80880833e+00 2.38256365e-01
-1.80167294e+00 2.40808636e-01
-1.79453754e+00 2.43058234e-01
-1.78740227e+00 2.44998544e-01
-1.78026688e+00 2.46623546e-01
-1.77313161e+00 2.47927606e-01
-1.76599622e+00 2.48907432e-01
-1.75886095e+00 2.49560088e-01
-1.75172555e+00 2.49884054e-01
-1.74459028e+00 2.49878690e-01
-1.73745489e+00 2.49545395e-01
-1.73031950e+00 2.48885587e-01
-1.72318423e+00 2.47903004e-01
-1.71604884e+00 2.46601462e-01
-1.70891356e+00 2.44986624e-01
-1.70177817e+00 2.43065283e-01
-1.69464290e+00 2.40844667e-01
-1.68750751e+00 2.38333344e-01
-1.68037224e+00 2.35541359e-01
-1.67323685e+00 2.32479006e-01
-1.66610146e+00 2.29157820e-01
-1.65896618e+00 2.25590035e-01
-1.65183079e+00 2.21789077e-01
-1.64469552e+00 2.17768684e-01
-1.63756013e+00 2.13543266e-01
-1.63042486e+00 2.09128097e-01
-1.62328947e+00 2.04538956e-01
-1.61615419e+00 1.99792206e-01
-1.60901880e+00 1.94903821e-01
-1.60188341e+00 1.89891905e-01
-1.59474814e+00 1.84772700e-01
-1.58761275e+00 1.79564074e-01
-1.58047748e+00 1.74284071e-01
-1.57334208e+00 1.68949693e-01
-1.56620681e+00 1.63579240e-01
-1.55907154e+00 1.58190310e-01
-1.55193615e+00 1.52800962e-01
-1.54480076e+00 1.47427768e-01
-1.53766537e+00 1.42088354e-01
-1.53052998e+00 1.36799738e-01
-1.52339482e+00 1.31578565e-01
-1.51625943e+00 1.26440212e-01
-1.50912404e+00 1.21401168e-01
-1.50198865e+00 1.16476037e-01
-1.49485350e+00 1.11679651e-01
-1.48771811e+00 1.07025921e-01
-1.48058271e+00 1.02527581e-01
-1.47344732e+00 9.81978700e-02
-1.46631193e+00 9.40481126e-02
-1.45917678e+00 9.00902078e-02
-1.45204139e+00 8.63331184e-02
-1.44490600e+00 8.27877745e-02
-1.43777061e+00 7.94616714e-02
-1.43063545e+00 7.63632059e-02
-1.42350006e+00 7.34989867e-02
-1.41636467e+00 7.08752349e-02
-1.40922928e+00 6.84964359e-02
-1.40209389e+00 6.63677454e-02
-1.39495873e+00 6.44921437e-02
-1.38782334e+00 6.28719628e-02
-1.38068795e+00 6.15086295e-02
-1.37355256e+00 6.04032725e-02
-1.36641741e+00 5.95553629e-02
-1.35928202e+00 5.89641631e-02
-1.35214663e+00 5.86275198e-02
-1.34501123e+00 5.85434139e-02
-1.33787584e+00 5.87076060e-02
-1.33074069e+00 5.91166280e-02
-1.32360530e+00 5.97654209e-02
-1.31646991e+00 6.06486388e-02
-1.30933452e+00 6.17598593e-02
-1.30219936e+00 6.30922914e-02
-1.29506397e+00 6.46384358e-02
-1.28792858e+00 6.63907528e-02
-1.28079319e+00 6.83405250e-02
-1.27365780e+00 7.04790577e-02
-1.26652265e+00 7.27966353e-02
-1.25938725e+00 7.52835795e-02
-1.25225186e+00 7.79307336e-02
-1.24511647e+00 8.07266980e-02
-1.23798132e+00 8.36610496e-02
-1.23084593e+00 8.67238566e-02
-1.22371054e+00 8.99032354e-02
-1.21657515e+00 9.31879655e-02
-1.20943975e+00 9.65675116e-02
-1.20230460e+00 1.00030124e-01
-1.19516921e+00 1.03564546e-01
-1.18803382e+00 1.07159771e-01
-1.18089843e+00 1.10804304e-01
-1.17376328e+00 1.14486888e-01
-1.16662788e+00 1.18196569e-01
-1.15949249e+00 1.21922992e-01
-1.15235710e+00 1.25655100e-01
-1.14522171e+00 1.29382059e-01
-1.13808656e+00 1.33093596e-01
-1.13095117e+00 1.36780739e-01
-1.12381577e+00 1.40432432e-01
-1.11668038e+00 1.44040108e-01
-1.10954523e+00 1.47594124e-01
-1.10240984e+00 1.51086301e-01
-1.09527445e+00 1.54507548e-01
-1.08813906e+00 1.57850295e-01
-1.08100367e+00 1.61106586e-01
-1.07386851e+00 1.64268762e-01
-1.06673312e+00 1.67330801e-01
-1.05959773e+00 1.70285434e-01
-1.05246234e+00 1.73126712e-01
-1.04532719e+00 1.75848514e-01
-1.03819180e+00 1.78446144e-01
-1.03105640e+00 1.80914357e-01
-1.02392101e+00 1.83248639e-01
-1.01678562e+00 1.85444579e-01
-1.00965047e+00 1.87498629e-01
-1.00251508e+00 1.89407274e-01
-9.95379686e-01 1.91167712e-01
-9.88244295e-01 1.92777157e-01
-9.81109142e-01 1.94233432e-01
-9.73973751e-01 1.95534512e-01
-9.66838360e-01 1.96678832e-01
-9.59702969e-01 1.97665423e-01
-9.52567577e-01 1.98493212e-01
-9.45432425e-01 1.99161515e-01
-9.38297033e-01 1.99670300e-01
-9.31161642e-01 2.00019583e-01
-9.24026251e-01 2.00209498e-01
-9.16891098e-01 2.00240895e-01
-9.09755707e-01 2.00114608e-01
-9.02620316e-01 1.99831799e-01
-8.95484924e-01 1.99393988e-01
-8.88349533e-01 1.98802620e-01
-8.81214380e-01 1.98059842e-01
-8.74078989e-01 1.97167858e-01
-8.66943598e-01 1.96128726e-01
-8.59808207e-01 1.94945350e-01
-8.52673054e-01 1.93620518e-01
-8.45537663e-01 1.92157164e-01
-8.38402271e-01 1.90558761e-01
-8.31266880e-01 1.88828439e-01
